category,overall_pvalue,video1pvalue,video2pvalue,video3pvalue,video4pvalue,video5pvalue,video6pvalue,video7pvalue,video8pvalue,video1concordance,video2concordance,video3concordance,video4concordance,video5concordance,video6concordance,video7concordance,video8concordance,video1mean,video2mean,video3mean,video4mean,video5mean,video6mean,video7mean,video8mean,video1sd,video2sd,video3sd,video4sd,video5sd,video6sd,video7sd,video8sd
27.0,0.0,0.020400000000000001,0.0,0.2596,0.030800000000000001,1.0,0.089399999999999993,0.2417,0.42370000000000002,0.78580246913580243,0.79791666666666672,0.85460317460317459,0.81321321321321316,0.96129032258064517,0.78349206349206346,0.93222222222222217,0.77777777777777779,0.11944444444444445,0.11562500000000001,0.077142857142857138,0.10000000000000001,0.01935483870967742,0.11714285714285715,0.035000000000000003,0.11874999999999999,0.32431076012954374,0.31977470096147387,0.26681798427897224,0.29999999999999999,0.1377687516391137,0.32159043543498822,0.18377975949489109,0.32349410736518841
28.0,0.8931,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.98918918918918919,1.0,1.0,0.96888888888888891,1.0,0.0,0.0,0.0,0.0054054054054054057,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.073322486304056939,0.0,0.0,0.13999999999999999,0.0
29.0,0.0,0.0,0.0001,0.0,0.0001,1.0,0.0,0.0,0.0,0.62777777777777777,0.63541666666666663,0.71365079365079365,0.76576576576576572,0.97419354838709682,0.84253968253968259,0.91666666666666663,0.78125,0.28055555555555556,0.27187499999999998,0.23142857142857143,0.14054054054054055,0.012903225806451613,0.10285714285714286,0.050000000000000003,0.15312500000000001,0.44927067097961021,0.44492581895749767,0.42174564343345861,0.34754697093358938,0.11285713344861874,0.30377220251433174,0.21794494717703364,0.36010794822525094
30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99459459459459465,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0027027027027027029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051917223546752836,0.0,0.0,0.0,0.0
31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0038999999999999998,0.0155,0.0104,0.0051999999999999998,0.0688,1.0,0.43540000000000001,0.063600000000000004,0.72962962962962963,0.71388888888888891,0.69523809523809521,0.70270270270270274,0.68172043010752692,0.9028571428571428,0.8338888888888889,0.77916666666666667,0.15555555555555556,0.16875000000000001,0.17714285714285713,0.18108108108108109,0.19354838709677419,0.048571428571428571,0.087499999999999994,0.125,0.36243347622889088,0.37453095666446584,0.38178955630834438,0.3850853452880128,0.39507899077148029,0.21497033492544776,0.28256636388643291,0.33071891388307384
33.0,0.0001,0.0,0.0,0.0,0.2717,0.0,0.186,0.0,1.0,0.70370370370370372,0.84861111111111109,0.86793650793650789,0.96336336336336337,0.59784946236559144,0.97269841269841273,0.84944444444444445,0.96250000000000002,0.19444444444444445,0.09375,0.091428571428571428,0.01891891891891892,0.36451612903225805,0.014285714285714285,0.097500000000000003,0.018749999999999999,0.39577241246597245,0.29148059540902549,0.28821760486670839,0.1362387368770655,0.48129421428851216,0.11866605518454393,0.29663740492392393,0.13564084008881691
34.0,0.0,0.33679999999999999,0.090700000000000003,0.0,0.095899999999999999,1.0,0.034599999999999999,0.0019,0.0,0.8246913580246914,0.8881944444444444,0.93841269841269837,0.90750750750750753,0.95483870967741935,0.9352380952380952,0.90277777777777779,0.9145833333333333,0.094444444444444442,0.059374999999999997,0.037142857142857144,0.048648648648648651,0.022580645161290321,0.034285714285714287,0.052499999999999998,0.053124999999999999,0.29244604862781903,0.23632521950693289,0.18911177992426184,0.2151324188338638,0.14856230889896074,0.18196209517817896,0.22303306929690944,0.22428271082497644
35.0,0.0,0.0094000000000000004,0.053999999999999999,0.0055999999999999999,0.25190000000000001,0.002,0.00029999999999999997,0.0,0.00050000000000000001,0.76049382716049385,0.81736111111111109,0.67492063492063492,0.77897897897897894,0.79713261648745515,0.84888888888888892,0.69555555555555559,0.85972222222222228,0.1388888888888889,0.10312499999999999,0.21142857142857144,0.12432432432432433,0.11935483870967742,0.085714285714285715,0.27000000000000002,0.081250000000000003,0.34583054438857591,0.3041220715025465,0.4083216019417108,0.32995118836825627,0.32420558475489641,0.27994168488950605,0.44395945760846223,0.27321866242992987
36.0,0.031300000000000001,0.0,0.0,0.23130000000000001,1.0,0.0,1.0,1.0,1.0,0.82654320987654317,0.91527777777777775,0.94984126984126982,0.99459459459459465,0.72258064516129028,0.98285714285714287,0.97999999999999998,0.96250000000000002,0.11388888888888889,0.0625,0.025714285714285714,0.0027027027027027029,0.36451612903225805,0.0085714285714285719,0.01,0.018749999999999999,0.31767626583763414,0.24206145913796356,0.15828158839388046,0.051917223546752836,0.48129421428851216,0.092184376028009579,0.099498743710661988,0.13564084008881691
